Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
07/28/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.61,-24.466,
07/23/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.59,-35.403,
07/23/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.59,-19.520,
07/23/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.59,-24.505,
06/10/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,445.75,12.43,35.861,
06/10/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,245.73,12.43,19.769,
06/10/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,308.52,12.43,24.821,
06/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,668.62,12.46,53.661,
06/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,368.60,12.46,29.583,
06/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,462.78,12.46,37.141,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,18.15,12.49,1.453,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,10.01,12.49,0.801,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,12.56,12.49,1.006,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,2674.50,12.49,214.131,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,1474.40,12.49,118.046,
06/08/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,1851.10,12.49,148.207,
06/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,2228.75,12.54,177.731,
06/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,1228.67,12.54,97.980,
06/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,1542.58,12.54,123.013,
06/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,445.75,12.60,35.377,
06/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,245.73,12.60,19.502,
06/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,308.52,12.60,24.486,
06/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,445.75,12.56,35.490,
06/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,245.73,12.56,19.564,
06/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,308.52,12.56,24.564,
06/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,222.45,12.62,17.627,
06/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,123.27,12.62,9.768,
06/02/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Purchase,154.28,12.62,12.225,
04/15/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-446.41,12.81,-34.849,
04/15/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-246.97,12.81,-19.279,
04/15/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-320.85,12.81,-25.047,
04/14/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-446.07,12.80,-34.849,
04/14/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-246.78,12.80,-19.279,
04/14/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-320.60,12.80,-25.047,
03/09/2015,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,3.01,12.55,0.240,
