Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
01/03/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,12.50,11.70,1.068,
01/03/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,50.00,11.70,4.274,
01/20/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-428.99,10.93,-39.249,
01/20/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-199.88,10.93,-18.287,
01/20/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-282.97,10.93,-25.889,
01/12/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-470.47,10.90,-43.162,
01/12/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-219.21,10.90,-20.111,
01/12/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-310.32,10.90,-28.470,
01/11/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-470.46,10.92,-43.082,
01/11/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-219.21,10.92,-20.074,
01/11/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-310.33,10.92,-28.419,
01/10/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.23,10.85,-21.680,
01/10/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.61,10.85,-10.102,
01/10/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-155.16,10.85,-14.300,
01/05/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.23,10.88,-21.620,
01/05/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.61,10.88,-10.074,
01/05/2017,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-155.16,10.88,-14.261,
01/20/2017,DFA International Value III,DFVIX,Exchange Redemption,-338.66,14.74,-22.975,
01/20/2017,DFA International Value III,DFVIX,Exchange Redemption,-159.91,14.74,-10.849,
01/20/2017,DFA International Value III,DFVIX,Exchange Redemption,-223.62,14.74,-15.171,
01/12/2017,DFA International Value III,DFVIX,Exchange Redemption,-234.46,14.73,-15.917,
01/12/2017,DFA International Value III,DFVIX,Exchange Redemption,-110.71,14.73,-7.516,
01/12/2017,DFA International Value III,DFVIX,Exchange Redemption,-154.83,14.73,-10.511,
