Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
12/13/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.76,4.509,
12/13/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.76,6.704,
12/12/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.77,10.037,
12/12/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.77,4.505,
12/12/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.77,6.698,
12/09/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.77,10.037,
12/09/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.77,4.505,
12/09/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.77,6.698,
12/08/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.82,9.994,
12/08/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.82,4.487,
12/08/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.82,6.670,
12/06/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,117.87,11.82,9.972,
12/06/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.34,11.82,4.513,
12/06/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.79,11.82,6.666,
12/15/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,8.36,10.56,0.792,
12/15/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,3.90,10.56,0.369,
12/15/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,5.52,10.56,0.523,
11/21/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,235.18,10.47,22.462,
11/21/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,107.32,10.47,10.250,
11/21/2016,DFA International Large Cap Growth Port,DILRX,Exchange Purchase,157.50,10.47,15.043,
09/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,5.91,11.15,0.530,
09/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,2.76,11.15,0.248,
09/29/2016,DFA International Large Cap Growth Port,DILRX,Ordinary Dividend Reinvestment Increase,3.89,11.15,0.349,
09/22/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-235.24,11.36,-20.708,
09/22/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-109.96,11.36,-9.680,
09/22/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-154.80,11.36,-13.627,
09/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-188.19,11.34,-16.595,
09/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-87.97,11.34,-7.758,
09/08/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-123.84,11.34,-10.921,
08/24/2016,DFA International Large Cap Growth Port,DILRX,Exchange Redemption,-117.62,11.28,-10.427,
